Supplementary Table 3:Repetitive elements read counts on chromosome Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The column titles are composed of the sex of the sample (F for female and M for male) followed by a dash and the sample name. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F-Sample-13,F-Sample-16,F-Sample-17,F-Sample-18,F-Sample-2,F-Sample-20,F-Sample-23,F-Sample-24,F-Sample-26,F-Sample-28,F-Sample-31,F-Sample-33,F-Sample-37,F-Sample-40,F-Sample-41,F-Sample-45,F-Sample-5,F-Sample-54,F-Sample-55,F-Sample-56,F-Sample-57,F-Sample-8,F-Sample-9,M-Sample-1,M-Sample-10,M-Sample-11,M-Sample-12,M-Sample-14,M-Sample-15,M-Sample-19,M-Sample-21,M-Sample-22,M-Sample-27,M-Sample-29,M-Sample-3,M-Sample-30,M-Sample-32,M-Sample-34,M-Sample-35,M-Sample-36,M-Sample-38,M-Sample-39,M-Sample-4,M-Sample-42,M-Sample-43,M-Sample-44,M-Sample-46,M-Sample-47,M-Sample-48,M-Sample-49,M-Sample-50,M-Sample-51,M-Sample-52,M-Sample-53,M-Sample-58,M-Sample-59,M-Sample-6,M-Sample-60,M-Sample-7
chrY:22527060-22527354_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,1,1,0,0,2,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,3,0,13,0,13,3,13,19,0,0,21,0
chrY:2739870-2740018_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,3,1,0,2,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,7,0,0,0,9,0,9,33,10,8,0,0
chrY:14405872-14408384_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,6,0,1,0,5,6,0,1,0,7,0,10,0,0,4,0,0,7,0,0,6,0,0,11,4,4,0,5,0,5,6,13
chrY:14497782-14498061_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,1,3,0,0,4,0,2,0,0,0,0,0,46,4,0,0,17,0,0,0,0,0,0,14,5,0,0,0,0,0,0
chrY:14694116-14694637_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1,0,0,0,3,0,0,0,15,0,59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,15
chrY:16859699-16859761_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,2,1,4,5,0,0,0,3,0,0,0,13,0,0,0,9,0,14,0,0,8,0,0,6,3,2,0,20,7,2,2,0
chrY:21862527-21862772_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,0,0,4,1,4,0,3,0,3,0,9,0,0,10,0,0,0,0,0,0,0,0,0,11,28,0,19,0,0,7,0
chrY:22526744-22527058_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,14,1,1,0,0,3,2,0,8,0,0,0,0,0,0,3,6,0,0,0,0,0,4,20,0,14,2,0,4,6,0,9,0
chrY:24446882-24447037_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0
chrY:14707283-14710790_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,3,0,0,0,0,0,21,0,0,16,3,0,0,0,0,0,4,0,7,0,17,8,6,0,12,0,0,0
chrY:15352878-15352897_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,0,0,3,5,0,0,0,3,27,0,0,23,6,0,0,0,10,0,4,0,0,2,8,5,0,1,4,0,0,0
chrY:16760335-16760354_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,1,19,0,0,0,0,0,0,0,8,0,0,0,13,0,0,0,11,7,17,16,0,0,10,0
chrY:21884606-21885202_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,6,2,5,2,0,6,5,0,0,0,0,0,0,0,14,0,0,8,0,0,0,7,0,0,8,1,29,0,1,3,0,0,0
chrY:22528462-22528979_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,6,4,1,1,0,6,0,0,0,0,7,0,0,0,39,1,0,0,0,0,0,0,0,0,0,10,0,13,10,0,0,0,0
chrY:22605929-22606539_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,4,6,7,3,7,3,0,4,0,13,0,0,0,0,5,12,0,0,0,0,5,0,0,0,0,19,0,2,0,2,10,0
chrY:16918262-16918297_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,11,8,0,0,2,0,5,0,0,0,9,0,0,9,0,10,0,0,0,0,0,0,3,14,6,13,2,0,0,10,0
chrY:21892553-21892762_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,5,6,5,2,0,10,4,0,14,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,19,7,0,0,0,10,0
chrY:21895322-21895343_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,9,7,17,3,4,0,0,0,5,0,3,0,5,0,4,1,26,1,0,0,0,0,0,0,0,5,3,0,1,0,4,3,0
chrY:21926744-21927535_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,5,8,0,0,5,3,3,14,0,0,0,0,0,0,0,0,7,0,0,0,0,0,10,0,0,6,9,13,1,0,1,0,16
chrY:7202942-7203004_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,13,10,6,2,10,2,6,0,11,14,0,0,10,0,1,3,0,0,0,0,0,0,0,0,4,1,0,8,0,0,3,0,0
chrY:8468065-8468087_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,30,38,0,0,1,0,5
chrY:16894171-16894618_-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,2,13,7,9,11,0,1,0,0,3,3,0,0,4,0,0,5,9,0,14,0,0,5,0,0,0,0,4,1,9,0,0,0,0
chrY:14425225-14425278_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0
chrY:14425280-14425521_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0
chrY:15482635-15482644_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,5,0,0,0,0,0,0,0,0,34,0,12,0,0,0,0,0,0,0,12,7,0,11,1,0,3,0,0,2,15,0
chrY:15483267-15483312_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,5,13,0,12,2,0,0,7,0,17,0,0,0,0,10,8,0,0,0,0,0,0,0,9,11,4,0,2,0,3,0,0
chrY:15503769-15504065_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,7,2,3,2,0,0,2,0,2,0,0,32,0,0,0,3,12,0,0,0,0,0,0,7,0,4,0,11,0,7,8,0,0
chrY:22216564-22220281_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,1,2,7,5,7,9,0,7,0,0,0,0,20,0,0,0,0,0,0,0,4,0,14,1,0,3,14,0,0,0,5,0
chrY:15823931-15824130_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,2,3,3,0,1,0,0,0,12,0,16,0,0,0,2,17,0,0,22,0,0,21,0,0,0,0,0,0,0,0,0,0
chrY:16001228-16001279_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,4,1,14,6,1,8,2,6,0,0,14,6,0,0,0,0,2,0,0,5,0,0,0,0,9,0,3,7,2,0,0,7,0,0
chrY:16875524-16876047_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,6,8,0,3,7,4,0,2,13,2,0,6,0,0,0,6,0,0,0,0,3,12,0,0,0,11,15,0,2,6,0,0
chrY:21090426-21090635_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0
chrY:21148729-21148998_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,30,10,0,9,2,0,11,0,0,0,5,9,1,0,5,2,0,5,0,0,0,13
chrY:22215923-22216233_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,2,2,0,0,5,1,0,3,13,0,11,0,13,9,4,10,0,7,0,0,0,0,0,0,2,7,0,3,0,3,8,0
chrY:22756326-22756781_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,1,1,3,0,10,2,0,12,0,0,37,0,0,0,6,13,0,0,0,0,8,0,0,0,0,4,0,2,6,0,0,0
chrY:2739573-2739717_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,6,0,10,0,5,0,0,5,27,1,0,0,0,0,5,0,1,0,0,0,11,9,0,0,0,1,18,0,0,5,0,0
chrY:7241553-7241854_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,0,3,0,0,2,0,0,5,0,6,0,0,0,8,0,0,0,0,0,0,12,0,0,0,15,4,0,12,10,3,0,0
chrY:14284837-14285157_+,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,3,13,4,7,0,1,0,0,2,0,8,0,0,13,0,4,0,0,0,0,0,2,6,0,0,1,1,23,2,6,1,5,0
chrY:15373264-15373344_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,1,4,2,2,16,0,3,0,0,0,0,0,0,0,14,0,0,10,18,0,0,0,0,0,0,0,22,0,0,0,5,0,0
chrY:16858466-16858637_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,5,2,1,0,0,1,2,0,9,15,0,0,0,0,1,3,1,0,5,0,0,3,0,1,24,0,4,5,0,0,4,13,0
chrY:16904013-16904139_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,4,3,3,2,5,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,8,3,13,1,0,0,6,6,32,8
chrY:21865000-21865621_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,12,7,5,3,0,5,0,0,11,0,26,0,0,0,0,3,0,1,0,0,0,0,0,0,0,8,10,0,14,0,0,0,0
chrY:22527744-22527930_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,5,0,4,0,0,0,11,0,19,12,0,0,0,0,0,5,0,0,0,16,19,0,0,0,0,15,0
chrY:7164185-7164489_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,11,0
chrY:7164491-7164667_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,11,0
chrY:14332148-14332293_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,7,0,1,0,0,0,0,0,0,0,0,43,0,0,0,0,0,15,0,0,0,0,0,0,14,10,2,0,15,0,0,0,0
chrY:14451746-14452037_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,2,0,3,17,0,0,0,9,23,7,0,2,0,0,0,0,0,0,0,1,0,17,0,26,0,0,0
chrY:14485565-14485821_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,14,0,24,4,2,21,4,0,0,10,18
chrY:14874550-14874662_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,5,11,6,6,0,4,0,0,0,0,7,1,0,43,0,0,0,0,0,0,0,0,0,0,0,0,5,11,3,0,0,3,0
chrY:14935589-14935744_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,10,4,1,3,0,3,3,3,0,3,0,0,0,8,0,0,0,10,0,0,0,0,4,0,0,1,0,18,4,20,0,4,0,5
chrY:15389202-15391132_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,5,8,0,5,0,6,0,5,0,0,0,3,0,0,1,3,0,0,0,0,0,0,10,11,10,0,8,8,0,5,9,0
chrY:16904731-16904769_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,6,0,0,0,0,99,0,0,0,0,3,0,0,1,0,0,0,0
chrY:16908191-16908478_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,10,1,0,10,0,40,0,0,0,0,0,1,0,0,0,0,0,11,0,0,14,0,7,0,4,0,0,0,0
chrY:21050540-21050677_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,1,0,13,0,0,0,0,0,0,44,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
chrY:22760078-22761117_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,10,0,5,0,2,2,13,0,2,20,0,0,0,0,0,0,4,27,0,0,0,5,8,0,0,4,1,5,0,0,0,0,0
chrY:2814755-2815068_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,6,0,8,0,0,0,0,0,0,19,34,0,0,0,0,0,0,0,1,17,0,11,0
chrY:7243263-7243512_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,11,7,12,1,1,6,0,0,0,0,5,0,7,9,0,5,7,0,4,0,0,9,0,0,0,1,7,4,2,4,7,0,0
chrY:21888852-21889000_+,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,5,8,13,7,10,0,3,1,0,11,3,0,0,0,0,0,10,0,1,0,0,0,9,3,0,0,3,0,10,0,0,1,0,0
chrY:14462347-14462401_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,3,1,0,0,0,0,5,0,0,36,23,0,1,0,0,0,0,0,0,1,10,16,1,0,4,1,0,0,0,0,0
chrY:15341198-15341526_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,1,0,0,0,7,3,0,0,0,32,0,0,0,3,0,0,0,29,0,0,3,0,0,17,0,0,0,11,0,0,0
chrY:16760608-16760898_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,1,2,0,2,0,0,12,0,0,3,0,0,0,5,0,4,0,13,0,0,12,2,3,8,5,27,0,3,0,0,6,0
chrY:21041898-21043332_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,12,7,9,0,0,1,3,0,15,8,0,1,0,0,0,0,0,8,0,0,0,0,1,1,7,34,0,2,0
chrY:22527941-22528452_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,11,0,19,6,0,0,0,0,0,5,0,0,5,0,31,0,0,17,0,12,0
chrY:22651833-22652077_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,0,0,0,0,0,0,0,21,0,8,0,17,9,0,0,0,2,0,0,0,0,0,0,4,17,29,0,0,0,0
chrY:21158164-21164864_+,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,7,6,2,13,0,3,0,1,0,15,0,0,1,0,5,0,0,0,0,0,8,0,0,9,4,3,9,0,0,4,12,0
chrY:21092180-21092480_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,52,0,0,0,0,6,0,10,0,0,0,28,0,0,0,0,0,0,0,8,0,0,0,7
chrY:16889622-16889909_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,3,1,0,0,0,3,0,0,0,1,17,0,0,0,4,0,0,0,16,0,0,5,8,0,24,15,0,7,0,0,0,0
chrY:22558689-22558727_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,11,0,0,0,0,0,0,0,0,7,2,12,15,0,10,0,0,9,0,0,3,0,0,9,3,8,4,7,6,0,4,0
chrY:22619174-22625284_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,7,5,6,5,4,2,0,3,0,0,0,0,0,5,0,0,13,0,0,0,2,9,7,0,3,11,5,12,0,8,0,0
chrY:22608285-22609175_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,6,1,1,3,1,10,2,0,0,0,0,12,0,8,17,15,0,0,0,0,0,0,0,10,0,0,1,0,12,0,0,8,0,0
chrY:22633230-22633636_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1,0,0,0,5,0,0,0,0,21,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,16,0,3,0,9,9,0
chrY:15488423-15488612_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,5,5,12,2,0,0,6,8,11,8,0,0,0,0,0,0,16,10,0,0,0,0,3,0,0,0,2,0,6,16,0,0,0,0
chrY:14274078-14274518_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,14,2,4,3,0,3,6,0,5,0,0,33,0,0,0,2,4,0,0,0,0,1,0,16,0,0,0,0,5,1,0,12,0
chrY:22600944-22601450_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,2,2,0,0,3,2,0,2,5,13,0,12,0,0,6,0,2,0,0,0,1,0,8,0,31,0,0,2,0,3,8,0
chrY:14944862-14944908_-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,1,11,6,2,0,2,0,0,6,0,0,0,10,0,15,0,0,0,0,22,0,0,0,0,10,15,13,0,0,0,1,0,0
chrY:14283573-14283743_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,5,6,5,11,0,1,0,0,11,0,5,0,0,15,0,0,0,0,0,0,1,4,0,4,8,1,13,6,6,0,0,10,0
chrY:14800234-14800467_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,3,0,6,4,0,0,0,0,0,0,0,0,10,0,29,20,0,0,0,0,0,21,0,0,20,0,0,0,0,0
chrY:14812589-14813151_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,3,8,6,5,1,0,2,0,0,13,0,0,0,0,0,0,4,0,0,0,0,0,4,8,0,0,0,0,9,8,12,0,17,0
chrY:16762274-16762514_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,0,3,6,0,0,0,0,0,2,0,0,0,12,33,0,3,0,0,0,19,0,0,10,9,0,6,1,0,0,0,0,7,0
chrY:22612171-22613175_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,6,3,2,2,5,7,5,0,8,0,20,0,6,0,0,0,0,9,0,0,0,0,0,7,10,1,14,4,1,0,2,0,0
chrY:14886114-14886421_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,7,0,4,0,1,0,3,0,1,11,11,7,24,0,0,0,1,0,1,0,0,1,14,0,0,0,3,9,12,1,0,0,0,0
chrY:14910798-14911086_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0
chrY:16691868-16692099_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,3,0,1,3,12,0,0,3,39,0,0,4,0,8,0,0,0,0,0,0,12,0,12,0,0,10,0,0,0,0
chrY:14267404-14267860_+,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,2,9,1,2,3,4,0,0,0,0,19,22,0,0,0,2,2,0,14,0,0,0,0,3,4,17,8,2,0,3,0,0,1
